st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-09-12 16:41:00;2013-09-12 18:39:00;118;3,3;8,3;3,8;2013-09-12 17:34:00;2013-09-12 18:33:00;59;1,9;6;4,8;2013-09-12 16:41:00;2013-09-12 18:39:00;118;4,9;24,9;9,3;2013-09-12 17:04:00;2013-09-12 18:23:00;79;3;6,1;4,9
2013-09-13 00:14:00;2013-09-13 01:41:00;87;0,6;4,1;2,4;2013-09-13 00:14:00;2013-09-13 01:35:00;81;0,8;6,1;3,6;2013-09-13 00:22:00;2013-09-13 01:41:00;79;0,3;6,4;0,6;2013-09-13 00:27:00;2013-09-13 01:36:00;69;0,8;6,1;3,7
2013-09-13 04:01:00;2013-09-13 04:04:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-09-13 04:01:00;2013-09-13 04:04:00;3;0,1;6,1;0,6
2013-09-13 05:17:00;2013-09-13 05:55:00;38;1,3;12,5;5,7;2013-09-13 05:17:00;2013-09-13 05:42:00;25;1,2;18,7;6,1;2013-09-13 05:28:00;2013-09-13 05:52:00;24;1;12,2;4,3;2013-09-13 05:23:00;2013-09-13 05:55:00;32;1,7;18,7;9,2
2013-09-13 12:34:00;2013-09-13 12:43:00;9;0,1;2,1;0,4;2013-09-13 12:34:00;2013-09-13 12:37:00;3;0,1;5,9;0,6;2013-09-13 12:40:00;2013-09-13 12:43:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-09-15 14:03:00;2013-09-15 15:33:00;90;0,6;4,2;2;2013-09-15 14:03:00;2013-09-15 15:33:00;90;1,3;12,6;5,5;2013-09-15 15:11:00;2013-09-15 15:22:00;11;0,2;6,4;1,3;2013-09-15 14:07:00;2013-09-15 15:30:00;83;0,4;6,1;1,2
2013-09-15 17:41:00;2013-09-15 19:08:00;87;2,4;36,9;11,7;2013-09-15 17:41:00;2013-09-15 19:04:00;83;4,3;110,7;24,4;2013-09-15 17:56:00;2013-09-15 18:05:00;9;0,7;12,4;4,3;2013-09-15 18:02:00;2013-09-15 19:08:00;66;2,2;38,8;10,8
2013-09-15 21:44:00;2013-09-15 21:47:00;3;0;2;0,2;2013-09-15 21:44:00;2013-09-15 21:47:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-09-15 23:37:00;2013-09-15 23:40:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-09-15 23:37:00;2013-09-15 23:40:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-09-16 08:53:00;2013-09-16 10:55:00;122;1;4,2;1;2013-09-16 08:54:00;2013-09-16 10:55:00;121;1;5,9;1,2;2013-09-16 08:59:00;2013-09-16 10:37:00;98;1,1;6,4;1,3;2013-09-16 08:53:00;2013-09-16 10:44:00;111;1;6,1;1,2
2013-09-16 12:53:00;2013-09-16 13:18:00;25;0,1;2,1;0,4;2013-09-16 13:15:00;2013-09-16 13:18:00;3;0,1;5,9;0,6;2013-09-16 12:53:00;2013-09-16 12:56:00;3;0,1;6,4;0,6;2013-09-16 13:08:00;2013-09-16 13:11:00;3;0,1;6,1;0,6
2013-09-16 16:30:00;2013-09-16 17:42:00;72;2,8;8,1;4,9;2013-09-16 16:30:00;2013-09-16 17:36:00;66;3;12,2;6;2013-09-16 16:30:00;2013-09-16 17:42:00;72;2,9;12,1;4,3;2013-09-16 16:34:00;2013-09-16 17:34:00;60;2,6;6,1;4,9
2013-09-16 19:47:00;2013-09-16 20:27:00;40;0,4;4;1,2;2013-09-16 19:52:00;2013-09-16 20:25:00;33;0,3;5,9;1,2;2013-09-16 19:54:00;2013-09-16 20:27:00;33;0,5;6,4;1,9;2013-09-16 19:47:00;2013-09-16 20:13:00;26;0,4;6,1;1,2
2013-09-16 23:37:00;2013-09-17 02:05:00;148;2,6;4,2;2,2;2013-09-16 23:43:00;2013-09-17 02:05:00;142;2,6;6;2,4;2013-09-16 23:37:00;2013-09-17 02:01:00;144;2,8;6,4;3,1;2013-09-16 23:38:00;2013-09-17 01:57:00;139;2,4;6,1;2,4
2013-09-18 07:18:00;2013-09-18 20:10:00;772;6,3;6,2;1,8;2013-09-18 07:23:00;2013-09-18 19:47:00;744;5,9;5,9;1,8;2013-09-18 07:26:00;2013-09-18 20:10:00;764;6,8;6,4;1,9;2013-09-18 07:18:00;2013-09-18 20:07:00;769;6;6,1;1,8
2013-09-18 21:58:00;2013-09-18 22:57:00;59;0,1;2,1;0,2;2013-09-18 21:58:00;2013-09-18 22:01:00;3;0,1;5,9;0,6;2013-09-18 22:54:00;2013-09-18 22:57:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-09-19 04:54:00;2013-09-19 04:57:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-09-19 04:54:00;2013-09-19 04:57:00;3;0,1;6,1;0,6
2013-09-19 09:29:00;2013-09-19 10:01:00;32;1,1;6,2;2,6;2013-09-19 09:29:00;2013-09-19 09:59:00;30;1,5;6,1;3,6;2013-09-19 09:33:00;2013-09-19 09:58:00;25;0,5;6,4;1,9;2013-09-19 09:31:00;2013-09-19 10:01:00;30;1,4;6,1;3
2013-09-19 12:11:00;2013-09-19 12:14:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-09-19 12:11:00;2013-09-19 12:14:00;3;0,1;6,1;0,6
